number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
1,20,1,4,Tuesday,A,Single carriageway,Other junction,Give way or uncontrolled,6,13,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,40,19,1,Tuesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Darkness - no lighting,Fine no high winds,Dry,-1,0,Rural,2,0
1,40,8,6,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
2,30,17,12,Monday,Unclassified,Roundabout,Data missing / out of range,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Unknown,-1,0,Urban,2,1
2,20,18,3,Tuesday,Unclassified,Single carriageway,Data missing / out of range,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,7,1,Wednesday,Motorway,Slip road,Crossroads,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,-1,13,Urban,-1,1
2,20,22,6,Wednesday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
1,40,16,12,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Raining no high winds,Wet or damp,-1,0,Rural,2,0
2,30,13,9,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,20,10,2,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,-1,0,Urban,2,1
1,30,17,6,Wednesday,C,Roundabout,Not at or within 20 metres of junction,Unknown,0,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,30,22,9,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,8,12,Friday,C,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,40,16,6,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
1,60,16,7,Tuesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
2,20,16,9,Monday,A,One way street,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,16,10,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,-1,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,23,5,Wednesday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
2,20,10,5,Friday,A,Unknown,Crossroads,Unknown,6,-1,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,20,13,9,Friday,A,Roundabout,Data missing / out of range,Give way or uncontrolled,4,-1,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
3,20,10,9,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,50,10,8,Wednesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,0
2,30,14,7,Friday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,-1,1
2,30,7,6,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,1
2,30,16,6,Tuesday,Unclassified,Roundabout,Data missing / out of range,Give way or uncontrolled,6,17,Daylight,Fine no high winds,Dry,-1,0,Rural,2,1
2,20,23,11,Saturday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
2,40,12,5,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine + high winds,Dry,0,0,Urban,2,1
1,30,15,10,Thursday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,14,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
3,70,9,1,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
2,50,17,4,Tuesday,Motorway,Slip road,Data missing / out of range,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,-1,0,Rural,1,0
2,60,19,5,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
1,20,18,4,Friday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,19,12,Saturday,Unclassified,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,-1,Darkness - no lighting,Other,Dry,-1,-1,Urban,2,1
2,60,18,8,Wednesday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,60,11,11,Wednesday,A,Single carriageway,Data missing / out of range,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,-1,0,Rural,1,0
2,30,9,4,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,1
1,30,20,4,Friday,Unclassified,Single carriageway,Junction with more than four arms,Data missing / out of range,6,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,14,10,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
3,30,21,9,Monday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,-1,0,Urban,2,1
2,30,9,5,Friday,B,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Dry,-1,0,Urban,2,1
3,20,17,11,Tuesday,A,Single carriageway,Crossroads,Automatic traffic signal,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,-1,0,Urban,2,1
2,30,17,9,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,17,9,Friday,B,Single carriageway,T or staggered junction,Unknown,6,-1,Daylight,Fine no high winds,Dry,-1,-1,Urban,2,1
2,30,9,6,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,-1,0,Urban,2,1
2,30,15,7,Thursday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,14,8,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,-1,Daylight,Fine no high winds,Dry,-1,-1,Urban,2,1
1,20,19,8,Monday,B,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,-1,1
2,30,11,1,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,60,9,7,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Other,Dry,-1,0,Rural,2,0
2,30,12,9,Saturday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,15,4,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,10,Monday,A,Dual carriageway,Other junction,Give way or uncontrolled,6,17,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
2,40,13,8,Tuesday,A,Roundabout,Not at or within 20 metres of junction,Data missing / out of range,2,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,0
1,20,9,1,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
